pipeline,order,operator,baseline_arm,candidate_arm,baseline_mean_s,candidate_mean_s,speedup,time_reduction_percent,baseline_cv,candidate_cv,both_pairs_improve,observed_improvement,attributable_improvement,added_mechanisms,root_configuration_note,normal_root_claim_eligible,corrected_report_ref
fineweb,1,clean_links_mapper,R,N,22.766153080039658,1.8273149199667387,12.45880106996229,91.97354549298518,0.00021791033452426127,0.03408289907892422,True,True,True,native_regex,not_affected_by_ad_root_helper,True,
fineweb,2,clean_email_mapper,R,N,39.50228345999494,39.612573884951416,0.9972157723131853,-0.2792001254007692,0.0014549133615583997,0.01709150198053983,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,3,clean_copyright_mapper,R,N,31.955411104951054,3.2102505849907175,9.954179668825901,89.95396875212369,0.05053293758850215,0.02851500923689873,True,False,False,native_regex,not_affected_by_ad_root_helper,True,
fineweb,4,fix_unicode_mapper,R,N,11.234736785001587,10.408070934936404,1.0794254627233892,7.358123878512091,0.071757781283429,0.01807753964734113,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,5,punctuation_normalization_mapper,R,N,23.696410799981095,5.349372919998132,4.429754880500904,77.425387476814,0.03574504245465567,0.14634011905628208,True,False,False,native_translation,not_affected_by_ad_root_helper,True,
fineweb,6,whitespace_normalization_mapper,R,N,34.039841039979365,8.540282109985128,3.985798197483507,74.91092246889556,0.01616215449830973,0.001363216091650647,True,True,True,native_whitespace,not_affected_by_ad_root_helper,True,
fineweb,7,text_length_filter,R,N,6.198554505011998,6.265255930018611,0.989353758928342,-1.0760803176398603,0.10401632421346904,0.1079977749652622,False,False,False,native_length,not_affected_by_ad_root_helper,True,
fineweb,8,alphanumeric_filter,R,N,47.58444674999919,44.68026473495411,1.0649992123429182,6.1032169404073855,0.0038862996761051326,0.0009326154456607761,True,True,False,,not_affected_by_ad_root_helper,True,
fineweb,9,language_id_score_filter,R,N,75.72378582000965,14.710332889982965,5.147659565989423,80.57369592567858,0.020621534080684276,0.019998278908217117,True,True,True,native_language,not_affected_by_ad_root_helper,True,
fineweb,10,perplexity_filter,R,N,6.4236180950538255,6.651946929981932,0.965674886265407,-3.554520700785746,0.030573996166221206,0.05841135596038635,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,11,document_deduplicator,R,N,6.147282669960987,6.3220280350069515,0.9723592865962714,-2.8426440498639627,0.010574133889270955,0.03980981317852183,False,False,False,,not_affected_by_ad_root_helper,True,
